Title,Brand,Wattage,Price per Watt,Price,City
Trina Solar A Grade,A-Grade,550,26.0,14300.0,Lahore
Osda Energy Tier 1 A Grade N-Type,A-Grade,580,27.0,15975.0,Faisalabad
ZN Shine Bifacial A Grade,A-Grade,585,29.0,16965.0,Lahore
Maysun A Grade,A-Grade,550,25.0,13750.0,Lahore
RENA Bifacial N-Type A Grade,A-Grade,575,25.0,14375.0,Islamabad
Huasun Solar Panels,A-Grade,710,30.0,21300.0,Lahore
Hi-Mo 6 Single Glass,Longi,565,31.0,18135.0,Islamabad
Hi-Mo 7 Bifacial N-Type,Longi,580,31.5,18270.0,Islamabad
Hi-Mo 7 Double Glass N-Type,Longi,600,31.5,18900.0,Karachi
Hi-Mo 5 Single Glass P-Type Monofacial,Longi,555,30.0,16650.0,Faisalabad
Hi-Mo 10X HPBC 2.0 Cells Monofacial Technology,Longi,640,37.0,23680.0,Karachi
Topcon Solar Panel,Canadian,585,35.5,20767.0,Islamabad
Canadian Solar Panel,Canadian,650,27.0,17550.0,Lahore
Tier 1 Single Glass A Grade Documented,Canadian,555,27.0,15120.0,Faisalabad
TOPCON N-Type Bifacial A Grade,Canadian,615,35.5,21830.0,Lahore
Single Glass A Grade,Canadian,550,27.0,14850.0,Lahore
N-Type A Grade Documented,Jinko,585,32.5,19012.0,Islamabad
N-Type Bifacial Solar Panels,Jinko,585,32.5,19012.0,Karachi
P-Type A Grade Tier 1,Jinko,555,27.0,14985.0,Lahore
P-Type A Grade Tier 1,Jinko,560,27.0,15120.0,Faisalabad
P-Type Bifacial A Grade Tier 1,Jinko,540,27.0,14580.0,Islamabad
N-Type Bifacial 16 Bus Bar,JA,585,30.9,18076.0,Karachi
N-Type Bifacial 16 Bus Bar,JA,605,30.9,18694.0,Karachi
Single Glass A Grade Documented,JA,550,26.0,14300.0,Lahore
Single Glass Tier One A Grade,JA,565,26.0,14690.0,Islamabad
Bifacial/Double Glass Tier One A Grade,JA,540,26.0,14040.0,Karachi
Longi HiMo X6 Monofacial 590watt Solar Panel,Longi,470,33.0,19470.0,Faisalabad
Longi HiMo X6 Monofacial 585watt Solar Panel,Longi,305,33.0,19305.0,Faisalabad
Longi HiMo X6 Monofacial 580watt Solar Panel,Longi,140,33.0,19140.0,Karachi
Longi Himo 7 Bifacial 580watt Solar Panel,Longi,140,33.0,19140.0,Islamabad
Longi Himo 7 Bifacial 605watt Solar Panel,Longi,570,34.0,20570.0,Islamabad
Longi Himo 7 Bifacial 610watt Solar Panel,Longi,740,34.0,20740.0,Lahore
Canadian TOPCON N-Type Bifacial 585watt Solar Panel,Canadian,580,38.0,22000.0,Karachi
Canadian TOPCON N-Type Bifacial 610watt Solar Panel,Canadian,500,37.0,22500.0,Islamabad
Canadian TOPCON N-Type Bifacial 630watt Solar Panel,Canadian,580,37.0,23000.0,Lahore
Trina Solar A Grade,Trina,550,26.0,14300.0,Karachi
Osda Energy Tier 1 A Grade N-Type,Osda,580,27.54310345,15975.0,Karachi
ZN Shine Bifacial A Grade,ZN,585,29.0,16965.0,Islamabad
Maysun A Grade,Maysun,550,25.0,13750.0,Karachi
RENA Bifacial N-Type A Grade,RENA,575,25.0,14375.0,Faisalabad
Huasun Solar Panels,Huasun,710,30.0,21300.0,Faisalabad
Hi-Mo 6 Single Glass,Hi-Mo,565,32.09734513,18135.0,Islamabad
Hi-Mo 7 Bifacial N-Type,Hi-Mo,580,31.5,18270.0,Karachi
Hi-Mo 7 Double Glass N-Type,Hi-Mo,600,31.5,18900.0,Lahore
Hi-Mo 5 Single Glass P-Type Monofacial,Hi-Mo,555,30.0,16650.0,Karachi
Hi-Mo 10X HPBC 2.0 Cells Monofacial Technology,Hi-Mo,640,37.0,23680.0,Lahore
Topcon Solar Panel,Topcon,585,35.499145299999995,20767.0,Faisalabad
Tier 1 Single Glass A Grade Documented,Tier,555,27.24324324,15120.0,Faisalabad
TOPCON N-Type Bifacial A Grade,TOPCON,615,35.49593496,21830.0,Islamabad
Single Glass A Grade,Single,550,27.0,14850.0,Islamabad
N-Type A Grade Documented,N-Type,585,32.499145299999995,19012.0,Lahore
N-Type Bifacial Solar Panels,N-Type,585,32.499145299999995,19012.0,Faisalabad
P-Type A Grade Tier 1,P-Type,555,27.0,14985.0,Lahore
P-Type A Grade Tier 1,P-Type,560,27.0,15120.0,Islamabad
P-Type Bifacial A Grade Tier 1,P-Type,540,27.0,14580.0,Faisalabad
N-Type Bifacial 16 Bus Bar,N-Type,585,30.899145299999997,18076.0,Islamabad
N-Type Bifacial 16 Bus Bar,N-Type,605,30.89917355,18694.0,Faisalabad
Single Glass A Grade Documented,Single,550,26.0,14300.0,Lahore
Single Glass Tier One A Grade,Single,565,26.0,14690.0,Faisalabad
Bifacial/Double Glass Tier One A Grade,Bifacial,540,26.0,14040.0,Lahore
Longi B Grade,Longi,550,24.54363636,13499.0,Lahore
Jinko B Grade Non-Documented,Jinko,550,24.54363636,13499.0,Karachi
Canadian B Grade,Canadian,650,24.0,15600.0,Lahore
JA B Grade Non-Documented,JA,550,24.18,13299.0,Islamabad
Hi-Mo 6 Double Glass N-Type,Hi-Mo,650,23.69076923,15399.0,Karachi
Canadian Solar Panel,Canadian,450,25.33111111,11399.0,Karachi
Canadian Solar Panel,Canadian,350,29.99714286,10499.0,Faisalabad
Osda Energy Tier 1 A Grade N-Type,Osda,585,27.0,15795.0,Karachi
ZN Shine Bifacial A Grade,ZN,585,27.0,15795.0,Karachi
RENA Bifacial N-Type A Grade,RENA,575,27.46956522,15795.0,Islamabad
Huasun Solar Panels,Huasun,710,32.0,22720.0,Islamabad
Hi-Mo 6 Single Glass,Hi-Mo,565,30.02654867,16965.0,Faisalabad
Hi-Mo 7 Bifacial N-Type,Hi-Mo,580,29.25,16965.0,Lahore
Hi-Mo 7 Double Glass N-Type,Hi-Mo,610,29.24918033,17842.0,Lahore
Hi-Mo 5 Single Glass P-Type Monofacial,Hi-Mo,555,29.0,16095.0,Lahore
Hi-Mo 10X HPBC 2.0 Cells Monofacial,Hi-Mo,640,36.0,23040.0,Karachi
N-Type Bifacial 16 Bus Bar,N-Type,585,28.0,16380.0,Lahore
N-Type Bifacial 16 Bus Bar,N-Type,610,28.0,17080.0,Faisalabad
N-Type Bifacial Tier 1 Documented,N-Type,585,29.23076923,17100.0,Lahore
P-Type Monofacial Documented Single Glass,P-Type,550,26.0,14300.0,Faisalabad
Topcon Bifacial Tier 1,Topcon,585,31.0,18135.0,Lahore
Astro Energy N-Type Bifacial,Astro,585,28.0,16380.0,Faisalabad
Astro Energy N-Type Bifacial,Astro,605,28.0,16940.0,Faisalabad
Astro Energy N-Type Bifacial,Astro,610,28.0,17080.0,Faisalabad
Phono Solar N-Type Tier 1 Documented,Phono,580,28.0,16240.0,Lahore
longi Hi mo-7 580 watt solar panel price in pakistan,Longi,580,30.25,17545.0,Faisalabad
longi Hi mo x6 585 watt solar panel official price in pakistan,Longi,585,30.5,17842.5,Karachi
Longi hi mo7 605 watt price in pakistan,Longi,605,30.5,18452.5,Faisalabad
Longi hi mo7 610 watt price in pakistan,Longi,610,30.5,18605.0,Karachi
Longi hi mo x10 635 watt price in pakistan,Longi,635,37.25,23653.75,Karachi
Longi hi mo x10 645 watt price in pakistan,Longi,645,37.5,24187.5,Lahore
Jinko 580 Watt solar panel price in pakistan,Jinko,580,30.0,17400.0,Faisalabad
Jinko 590 watt solar panel price in pakistan,Jinko,590,30.0,17700.0,Faisalabad
Jinko 615 watt solar panel price in pakistan,Jinko,615,30.25,18603.75,Lahore
Canadian N-type 580 Watt Solar Panel Price in Pakistan,Canadian,580,32.0,18560.0,Lahore
Canadian N-type 585 Watt Solar Panel Price in Pakistan,Canadian,585,32.25,18866.25,Lahore
Canadian N-type 590 Watt Solar Panel Price in Pakistan,Canadian,590,32.5,19175.0,Islamabad
JA N-Type BIFACIAL 575 Watt Solar Panel Price in Pakistan,JA,575,29.0,16675.0,Islamabad
JA N-Type BIFACIAL 590 Watt Solar Panel Price in Pakistan,JA,590,29.25,17257.5,Islamabad
JA N-Type BIFACIAL 705 Watt Solar Panel Price in Pakistan,JA,705,29.5,20797.5,Islamabad
ASTROENERGY Bifacial 610 watt solar panel price in pakistan,ASTROENERGY,610,28.5,17385.0,Islamabad
ASTROENERGY Bifacial 585 watt solar panel price in pakistan,ASTROENERGY,585,28.25,16526.25,Islamabad
longi Hi mo-7 585 watt solar panel price in pakistan,Longi,585,30.5,17842.5,Faisalabad
Longi hi mo 7 605 watt price in pakistan,Longi,605,30.25,18301.25,Islamabad
Longi hi mo 7 610 watt price in pakistan,Longi,610,30.5,18605.0,Faisalabad
